,Ax,Ay,Az,Sensor Index
753,-11,-3,-20,1
754,5,-180,-3,2
755,-1,-20,-11,3
756,-13,-21,-16,0
757,0,-3,39,1
758,-18,-24,-3,2
759,-13,3,192,3
760,10,-9,-4,0
761,-11,-15,27,1
762,173,0,20,2
763,-1,-20,0,3
764,-13,-9,7,0
765,0,-3,3,1
766,5,0,20,2
767,-1,-20,-23,3
768,-37,-9,-4,0
769,0,-3,-8,1
770,-18,0,-15,2
771,-1,-8,0,3
772,22,14,-4,0
773,0,-3,-8,1
774,5,-12,8,2
775,22,15,0,3
776,10,2,7,0
777,0,8,15,1
778,-6,11,-15,2
779,22,15,-23,3
780,10,-9,-4,0
781,192,8,15,1
782,-6,11,-15,2
783,22,15,-11,3
784,10,2,-4,0
785,12,8,15,1
786,-6,179,20,2
787,34,27,-11,3
788,-1,2,-4,0
789,0,8,-32,1
790,5,-12,44,2
791,-1,3,-179,3
792,34,-9,-16,0
793,12,-3,3,1
794,17,0,8,2
795,-37,3,-11,3
796,10,-165,-16,0
797,0,8,15,1
798,-6,-12,-3,2
799,10,3,12,3
800,10,14,7,0
801,-35,8,-8,1
802,5,0,8,2
803,-25,-8,0,3
804,10,14,-4,0
805,-179,8,3,1
806,17,11,-3,2
807,-13,-8,0,3
808,-1,14,7,0
809,12,-3,-32,1
810,17,11,-3,2
811,10,-8,-11,3
812,10,-9,-4,0
813,12,8,3,1
814,-6,0,-15,2
815,-1,15,12,3
816,10,26,7,0
817,12,-3,3,1
818,-18,-24,-3,2
819,10,15,-11,3
820,10,194,-4,0
821,-11,-3,-20,1
822,5,0,-3,2
823,10,-20,12,3
824,-1,-9,-16,0
825,0,-3,3,1
826,5,0,-3,2
827,-1,15,-11,3
828,-13,2,7,0
829,12,176,3,1
830,17,-24,-15,2
831,-25,3,0,3
832,10,14,-4,0
833,-11,-15,27,1
834,-6,-12,-3,2
835,-61,-20,0,3
836,-13,26,-4,0
837,0,-15,27,1
838,5,-24,-15,2
839,-25,-20,12,3
840,10,2,-4,0
841,0,-3,27,1
842,5,-12,-3,2
843,-13,-8,12,3
844,-1,2,-4,0
845,12,-3,39,1
846,-6,11,-3,2
847,-1,-8,-11,3
848,154,-9,19,0
849,12,8,27,1
850,-6,-12,8,2
851,-1,15,-179,3
852,10,-33,7,0
853,0,-3,15,1
854,-6,-12,-3,2
855,10,15,12,3
856,-1,2,7,0
857,24,-3,-8,1
858,5,11,20,2
859,-25,27,-11,3
860,10,-21,-4,0
861,0,-3,3,1
862,-186,0,-3,2
863,-13,-8,0,3
864,22,-9,-28,0
865,192,8,-20,1
866,-6,-24,8,2
867,22,-32,12,3
868,10,-9,7,0
869,0,8,-20,1
870,-6,11,8,2
871,10,3,0,3
872,10,2,7,0
873,0,8,3,1
874,149,0,-3,2
875,10,15,0,3
876,-13,26,19,0
877,-11,8,15,1
878,-6,0,-3,2
879,-1,-20,-11,3
880,-1,14,7,0
881,-11,-15,39,1
882,5,-12,-3,2
883,34,15,-23,3
884,10,14,-4,0
885,-11,-3,3,1
886,5,0,-3,2
887,-25,15,12,3
888,-13,-21,19,0
889,12,-3,15,1
890,5,0,8,2
891,10,-8,-179,3
892,22,14,-4,0
893,0,8,15,1
894,5,0,-3,2
895,-1,-8,12,3
896,-1,14,19,0
897,12,8,-44,1
898,-6,-12,8,2
899,-1,3,0,3
900,34,14,-16,0
901,-11,8,-8,1
902,5,0,-3,2
903,10,-20,0,3
904,178,-9,-4,0
905,24,-15,3,1
906,-6,11,20,2
907,-1,15,-11,3
908,-1,-9,-4,0
909,-23,-3,-8,1
910,-198,-24,-3,2
911,22,15,-23,3
912,-25,2,-28,0
913,12,8,3,1
914,5,191,32,2
915,-25,3,12,3
916,10,-33,-28,0
917,12,-3,-8,1
918,-6,11,20,2
919,-1,-20,0,3
920,178,-9,-4,0
921,192,8,-20,1
922,29,-12,8,2
923,10,3,12,3
924,-25,-9,7,0
925,-11,8,3,1
926,-198,-12,-3,2
927,10,3,192,3
928,-13,26,-4,0
929,0,8,-20,1
930,5,-12,-3,2
931,-1,-8,-11,3
932,-1,-9,-4,0
933,-11,-3,3,1
934,17,11,-3,2
935,-1,3,0,3
936,-1,2,-4,0
937,0,-3,-8,1
938,5,191,-3,2
939,34,3,-11,3
940,-13,-9,-16,0
941,12,8,3,1
942,-6,0,-3,2
943,34,3,-23,3
944,-1,26,-4,0
945,-11,8,-20,1
946,-6,11,-3,2
947,-25,3,24,3
948,-13,-9,-4,0
949,-11,-3,15,1
950,5,0,-15,2
951,10,-20,24,3
952,-13,-21,-28,0
953,-11,-3,-8,1
954,-6,11,-15,2
955,34,-8,0,3
956,22,14,-16,0
957,12,-3,-20,1
958,5,191,-15,2
959,-1,3,0,3
960,22,2,7,0
961,-11,8,-44,1
962,5,-12,-3,2
963,10,15,-11,3
964,10,2,-4,0
965,12,8,-20,1
966,5,-12,20,2
967,-1,15,-11,3
968,10,14,-4,0
969,12,-3,39,1
970,-6,-180,-3,2
971,-1,15,-11,3
972,22,2,7,0
973,12,-3,27,1
974,5,23,20,2
975,-1,3,12,3
976,-1,2,7,0
977,-11,8,3,1
978,5,11,8,2
979,-13,-20,12,3
980,-193,-9,7,0
981,-11,-3,3,1
982,-6,0,-15,2
983,10,15,12,3
984,22,-9,-16,0
985,12,8,-8,1
986,-6,-36,20,2
987,10,3,0,3
988,-181,-21,-4,0
989,-11,-3,3,1
990,5,-12,-15,2
991,-13,3,0,3
992,22,2,-4,0
993,0,8,27,1
994,173,11,-3,2
995,22,15,-11,3
996,-1,14,-4,0
997,0,-3,3,1
998,5,11,-15,2
999,-13,3,-11,3
1000,-1,14,7,0
1001,0,8,3,1
1002,-6,-24,8,2
1003,10,-20,24,3
1004,10,-9,-16,0
1005,0,8,-8,1
1006,-18,-180,8,2
1007,-1,27,-11,3
1008,-37,-9,-4,0
1009,192,8,-8,1
1010,-30,11,-15,2
1011,10,3,0,3
1012,-1,-9,-4,0
1013,0,-3,3,1
1014,173,-12,-15,2
1015,-13,-20,-11,3
1016,10,-9,-28,0
1017,12,-3,-20,1
1018,5,-180,8,2
1019,-13,3,-11,3
1020,10,2,19,0
1021,0,-15,-8,1
1022,-6,-12,8,2
1023,34,27,192,3
1024,-1,-33,-4,0
1025,0,-3,-44,1
1026,-6,11,-15,2
1027,-1,-8,-11,3
1028,-25,2,7,0
1029,0,8,27,1
1030,5,-12,-15,2
1031,10,15,12,3
1032,-1,14,19,0
1033,-23,8,-20,1
1034,-6,-12,8,2
1035,-13,-8,-179,3
1036,-1,14,-4,0
1037,-11,8,3,1
1038,-198,0,8,2
1039,-1,-20,12,3
1040,178,2,-4,0
1041,0,-3,-20,1
1042,5,11,-15,2
1043,10,3,12,3
1044,-13,2,-4,0
1045,0,-3,-8,1
1046,-18,-12,8,2
1047,10,3,12,3
1048,-1,-9,19,0
1049,12,-3,-8,1
1050,5,11,-15,2
1051,-13,15,12,3
1052,178,-9,-4,0
1053,0,8,27,1
1054,5,0,8,2
1055,22,3,12,3
1056,10,14,7,0
1057,-11,8,3,1
1058,173,-12,8,2
1059,-1,3,12,3
1060,-25,14,-4,0
1061,24,8,3,1
1062,-6,0,8,2
1063,22,-140,0,3
1064,-1,14,-4,0
1065,0,8,3,1
1066,17,0,20,2
1067,-1,15,12,3
1068,-13,-9,-4,0
1069,0,-3,3,1
1070,5,0,-15,2
1071,-1,15,0,3
1072,22,2,-4,0
1073,0,-3,-20,1
1074,-6,0,8,2
1075,10,3,12,3
1076,-13,2,19,0
1077,180,8,15,1
1078,-6,11,8,2
1079,-1,3,0,3
1080,34,-33,-16,0
1081,0,-3,15,1
1082,-6,0,-15,2
1083,-1,15,192,3
1084,-1,-9,43,0
1085,24,-3,51,1
1086,17,11,8,2
1087,-1,3,0,3
1088,-1,14,-28,0
1089,0,8,-8,1
1090,17,-12,-3,2
1091,-13,3,-11,3
1092,10,2,7,0
1093,0,8,15,1
1094,-6,0,32,2
1095,-1,3,12,3
1096,10,-21,7,0
1097,0,8,-8,1
1098,-18,0,-3,2
1099,10,27,0,3
1100,46,-21,-16,0
1101,-11,-3,-20,1
1102,-6,-12,-27,2
1103,-13,-8,12,3
1104,-13,2,7,0
1105,0,-3,15,1
1106,-6,0,-15,2
1107,-13,-20,192,3
1108,10,26,-4,0
1109,12,-3,-8,1
1110,5,-12,-3,2
1111,10,-20,12,3
1112,22,-9,7,0
1113,0,8,3,1
1114,-6,0,-15,2
1115,-1,-8,-11,3
1116,-25,-9,-4,0
1117,-11,-3,39,1
1118,-6,-24,-3,2
1119,-25,-8,-11,3
1120,-13,2,7,0
1121,0,-3,-8,1
1122,5,11,8,2
1123,22,3,192,3
1124,22,-21,31,0
1125,12,8,3,1
1126,5,23,-15,2
1127,-13,-20,0,3
1128,10,-9,-4,0
1129,12,-3,15,1
1130,-6,0,-15,2
1131,10,-8,-23,3
1132,34,2,7,0
1133,0,8,-20,1
1134,5,-12,8,2
1135,-1,15,24,3
1136,22,-21,-4,0
1137,-11,-3,-32,1
1138,-6,0,8,2
1139,10,-32,0,3
1140,10,-21,19,0
1141,-11,-3,-8,1
1142,-6,11,-15,2
1143,10,-20,0,3
1144,-1,-9,-4,0
1145,24,8,27,1
1146,-6,0,-3,2
1147,-1,3,12,3
1148,-13,-9,-4,0
1149,0,8,-8,1
1150,5,11,20,2
1151,-49,3,-11,3
1152,-13,14,7,0
1153,12,8,-8,1
1154,173,0,-15,2
1155,-1,-8,24,3
1156,-1,14,-4,0
1157,-11,8,3,1
1158,17,-12,32,2
1159,22,-8,12,3
1160,178,-9,7,0
1161,-179,8,3,1
1162,5,191,-3,2
1163,-1,-20,192,3
1164,-1,2,-4,0
1165,0,-3,3,1
1166,17,-12,8,2
1167,22,-20,0,3
1168,178,2,-16,0
1169,36,176,-8,1
1170,29,0,20,2
1171,22,-8,12,3
1172,10,-21,-4,0
1173,0,20,3,1
1174,5,0,-39,2
1175,-1,3,12,3
1176,-1,2,-4,0
1177,0,8,-8,1
1178,-6,0,-15,2
1179,46,-8,-11,3
1180,-13,2,7,0
1181,-11,8,15,1
1182,-6,11,-15,2
1183,-13,15,-179,3
1184,10,2,-4,0
1185,0,8,-20,1
1186,-6,0,-3,2
1187,-13,3,-11,3
1188,10,2,31,0
1189,-11,8,-8,1
1190,5,0,-3,2
1191,-25,3,-11,3
1192,-1,2,7,0
1193,0,-3,15,1
1194,-6,-180,-15,2
1195,10,-8,0,3
1196,-1,2,7,0
1197,-11,-3,3,1
1198,-6,0,-3,2
1199,-13,15,0,3
1200,-25,-21,-4,0
1201,24,20,-8,1
